"ticker","name","group","exchange","exchange_tier","index","dr","dr_count","dr_symbols","sector","industry","price","dollar_vol","mcap","stage","pct_from_52wh","last_bar","status"
"AAPL","Apple Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX+DOW30","Y","4","AAPL01 AAPL03 AAPL19 AAPL80","Technology","Computer Manufacturing","316.83","16800000000.0","4464797286400.0","4","-8.05","2026-08-19","active"
"ABBV","AbbVie Inc.","US","NYSE","NYSE","SP500","Y","2","ABBV19 ABBV80","Health Care","Biotechnology: Pharmaceutical Preparations","265.97","1350000000.0","440825085952.0","5","-0.561","2026-08-19","active"
"ABNB","Airbnb, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","1","ABNB06","Consumer Discretionary","Diversified Commercial Services","186.39","881000000.0","111607660544.0","5","-1.49","2026-08-19","active"
"ADBE","Adobe Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","2","ADBE03 ADBE06","Technology","Computer Software: Prepackaged Software","272.47","1300000000.0","108306825216.0","2","-26.5","2026-08-19","active"
"AMAT","Applied Materials, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","3","AMAT01 AMAT19 AMAT23","Technology","Semiconductors","496.17","4130000000.0","417312997376.0","6","-32.9","2026-08-19","active"
"AMD","Advanced Micro Devices, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","3","AMD03 AMD23 AMD80","Technology","Semiconductors","466.42","13500000000.0","790754623488.0","6","-20.2","2026-08-19","active"
"AMGN","Amgen Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX+DOW30","Y","1","AMGN06","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","442.36","1120000000.0","225153368064.0","5","-0.187","2026-08-19","active"
"AMZN","Amazon.com, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX+DOW30","Y","6","AMZN01 AMZN03 AMZN06 AMZN19 AMZN23 AMZN80","Consumer Discretionary","Catalog/Specialty Distribution","265.84","12600000000.0","2833025073152.0","5","-7.44","2026-08-19","active"
"ANET","Arista Networks, Inc.","US","NYSE","NYSE","SP500","Y","2","ANET23 ANET80","Telecommunications","Computer Communications Equipment","186.45","1500000000.0","243643383808.0","3","-13.2","2026-08-19","active"
"APP","Applovin Corporation","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","1","APPL03","Technology","Computer Software: Programming Data Processing","310.79","2670000000.0","103220781056.0","8","-58.3","2026-08-19","active"
"AVGO","Broadcom Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","2","AVGO23 AVGO80","Technology","Semiconductors","362.48","7720000000.0","1867017224192.0","7","-26.8","2026-08-19","active"
"AXP","American Express Company","US","NYSE","NYSE","SP500+DOW30","Y","1","AXP06","Finance","Finance: Consumer Services","339.9","954000000.0","230219874304.0","3","-11.8","2026-08-19","active"
"BA","Boeing Company (The)","US","NYSE","NYSE","SP500+DOW30","Y","1","BOEING80","Industrials","Aerospace","222.2","1300000000.0","178584109056.0","6","-12.6","2026-08-19","active"
"BAC","Bank of America Corporation","US","NYSE","NYSE","SP500","Y","1","BAC03","Finance","Major Banks","63.17","1710000000.0","441731907584.0","4","-3.16","2026-08-19","active"
