ticker,name,group,exchange,exchange_tier,index,dr,dr_count,dr_symbols,sector,industry,price,dollar_vol,mcap,stage,pct_from_52wh,last_bar,status
A,"Agilent Technologies, Inc.",US,NYSE,NYSE,SP500,N,0,,Industrials,Biotechnology: Laboratory Analytical Instruments,155.41,237000000.0,41927020544.0,5,-2.64,2026-08-19,active
AAL,"American Airlines Group, Inc.",US,NASDAQ,NASDAQ Global Select,SP400,N,0,,Consumer Discretionary,Air Freight/Delivery Services,13.86,901000000.0,9552226304.0,7,-26.2,2026-08-19,active
AAOI,"Applied Optoelectronics, Inc.",US,NASDAQ,NASDAQ Global,,Y,2,AAOI03 AAOI23,Technology,Semiconductors,122.19,1590000000.0,12709065728.0,6,-47.7,2026-08-19,active
AAON,"AAON, Inc.",US,NASDAQ,NASDAQ Global Select,SP400,N,0,,Industrials,Industrial Machinery/Components,80.99,115000000.0,7228710400.0,7,-46.1,2026-08-19,active
AAPL,Apple Inc.,US,NASDAQ,NASDAQ Global Select,SP500+NDX+DOW30,Y,4,AAPL01 AAPL03 AAPL19 AAPL80,Technology,Computer Manufacturing,316.83,16800000000.0,4464797286400.0,4,-8.05,2026-08-19,active
ABAT,American Battery Technology Company,US,NASDAQ,NASDAQ Capital Market,,N,0,,Basic Materials,Metal Mining,2.4,7330000.0,339671904.0,8,-79.1,2026-08-19,active
ABBV,AbbVie Inc.,US,NYSE,NYSE,SP500,Y,2,ABBV19 ABBV80,Health Care,Biotechnology: Pharmaceutical Preparations,265.97,1350000000.0,440825085952.0,5,-0.561,2026-08-19,active
ABCL,AbCellera Biologics Inc.,US,NASDAQ,NASDAQ Global Select,,N,0,,Health Care,Biotechnology: Pharmaceutical Preparations,12.01,89800000.0,3434048256.0,5,-1.15,2026-08-19,active
ABEO,Abeona Therapeutics Inc.,US,NASDAQ,NASDAQ Capital Market,,N,0,,Health Care,Biotechnology: Pharmaceutical Preparations,6.13,10600000.0,388706880.0,6,-19.9,2026-08-19,active
ABNB,"Airbnb, Inc.",US,NASDAQ,NASDAQ Global Select,SP500+NDX,Y,1,ABNB06,Consumer Discretionary,Diversified Commercial Services,186.39,881000000.0,111607660544.0,5,-1.49,2026-08-19,active
ABSI,Absci Corporation,US,NASDAQ,NASDAQ Global Select,,N,0,,Health Care,Biotechnology: Commercial Physical & Biological Resarch,9.99,22700000.0,1518784128.0,5,-17.1,2026-08-19,active
ABT,Abbott Laboratories,US,NYSE,NYSE,SP500,N,0,,Health Care,Biotechnology: Pharmaceutical Preparations,114.43,929000000.0,191916818432.0,2,-15.5,2026-08-19,active
ABTC,American Bitcoin Corp,US,NASDAQ,NASDAQ Capital Market,,N,0,,Technology,EDP Services,7.9,8640000.0,867356352.0,5,-45.6,2026-08-19,active
ABTS,Abits Group Inc.,US,NASDAQ,NASDAQ Capital Market,,N,0,,Technology,Computer Software: Programming Data Processing,1.29,334000.0,3938724.0,1,-88.1,2026-08-19,active
ABUS,Arbutus Biopharma Corporation,US,NASDAQ,NASDAQ Global Select,,N,0,,Health Care,Biotechnology: Pharmaceutical Preparations,4.98,6100000.0,931863360.0,5,-7.43,2026-08-19,active
ABVX,Abivax SA,US,NASDAQ,NASDAQ Global,,N,0,,Health Care,Biotechnology: Pharmaceutical Preparations,120.56,107000000.0,10377967616.0,6,-19.0,2026-08-19,active
ACAD,ACADIA Pharmaceuticals Inc.,US,NASDAQ,NASDAQ Global Select,SP600,N,0,,Health Care,Biotechnology: Pharmaceutical Preparations,30.21,50200000.0,5067505152.0,5,-2.42,2026-08-19,active
ACB,Aurora Cannabis Inc.,US,NASDAQ,NASDAQ Capital Market,,N,0,,Health Care,Medicinal Chemicals and Botanical Products,3.91,6250000.0,227947088.0,2,-41.3,2026-08-19,active
ACDC,ProFrac Holding Corp.,US,NASDAQ,NASDAQ Global Select,,N,0,,Energy,Oilfield Services/Equipment,4.7,9130000.0,927004928.0,8,-42.8,2026-08-19,active
ACGL,Arch Capital Group Ltd.,US,NASDAQ,NASDAQ Global Select,SP500,N,0,,Finance,Property-Casualty Insurers,98.53,178000000.0,33750974464.0,3,-7.99,2026-08-19,active
